epoch,train_loss,val_loss,val_core,tr_fore,tr_phys,va_fore,va_phys,L_PHYS
1,292.6634334095737,342.7123718261719,342.69744873046875,292.6489595112048,0.14478020500718503,342.69744873046875,0.14910326898097992,0.1
2,256.92826495254246,307.6786193847656,307.66375732421875,256.9138467353687,0.14421249847663076,307.66375732421875,0.14860069751739502,0.1
3,197.93322272049753,240.4095001220703,240.39468383789062,197.91886005066988,0.14365670895367338,240.39468383789062,0.14810766279697418,0.1
4,70.47331010249623,169.6096649169922,169.59490966796875,70.45899762605366,0.14311049695600542,169.59490966796875,0.14761780202388763,0.1
5,37.366943627073056,189.10272216796875,189.0880126953125,37.35268709952371,0.142563018359636,189.0880126953125,0.1471308171749115,0.1
6,81.95906428286904,177.629638671875,177.61497497558594,81.94486357036389,0.14201853581165014,177.61497497558594,0.1466483622789383,0.1
7,36.957729958651356,164.26666259765625,164.25204467773438,36.94358131341767,0.14148369692919546,164.25204467773438,0.146164670586586,0.1
8,21.26854231483058,172.5894317626953,172.57485961914062,21.25444962685568,0.14093076241643807,172.57485961914062,0.14565913379192352,0.1
9,20.49275798964919,162.0963134765625,162.07652282714844,20.47361706014265,0.14036743865724197,162.07652282714844,0.14515067636966705,0.13636363636363638
10,16.853093230933474,161.3457794189453,161.32080078125,16.82894736842105,0.1397909948177505,161.32080078125,0.14462940394878387,0.17272727272727273
11,15.111640704305549,165.66424560546875,165.63412475585938,15.082535626072632,0.13919804271375924,165.63412475585938,0.14407213032245636,0.2090909090909091
12,14.895110453429975,162.72598266601562,162.69076538085938,14.861101688000193,0.13855515629575962,162.69076538085938,0.14348635077476501,0.24545454545454548
13,13.804048132478146,160.50135803222656,160.46109008789062,13.765188058217367,0.13789063404526627,160.46109008789062,0.14287616312503815,0.28181818181818186
14,12.041772887372135,163.61343383789062,163.56817626953125,11.998117685317993,0.1372007484498777,163.56817626953125,0.1422262340784073,0.3181818181818182
15,11.69587042457179,158.5877227783203,158.53753662109375,11.647490873671414,0.1364539404187286,158.53753662109375,0.14155521988868713,0.3545454545454546
16,12.102649052937826,161.61085510253906,161.55577087402344,12.049595213772959,0.13571774854994656,161.55577087402344,0.1409204751253128,0.390909090909091
17,11.149703628138491,159.11065673828125,159.05072021484375,11.092021634704189,0.1350014217590031,159.05072021484375,0.14028218388557434,0.42727272727272736
18,10.654080386747394,158.6503448486328,158.58563232421875,10.591829377308226,0.13426579299725985,158.58563232421875,0.13958919048309326,0.4636363636363636
19,10.486962422467114,157.1161651611328,157.04672241210938,10.420221072017101,0.13348300297532165,157.04672241210938,0.13887551426887512,0.5
20,10.710461873757211,157.82754516601562,157.75344848632812,10.639313587494064,0.1326484685404259,157.75344848632812,0.1381520926952362,0.5363636363636364
21,10.560759800567961,156.6311492919922,156.55242919921875,10.48524300335792,0.1318542901099774,156.55242919921875,0.13745461404323578,0.5727272727272728
22,10.309736308298612,157.16917419433594,157.08590698242188,10.22991683451753,0.1310464099310992,157.08590698242188,0.1366955041885376,0.6090909090909091
23,10.29141264212759,157.78976440429688,157.70204162597656,10.207390934751745,0.1301751811253397,157.70204162597656,0.1359146535396576,0.6454545454545454
24,10.278871267511134,157.25428771972656,157.16217041015625,10.190710997633767,0.12930186471918173,157.16217041015625,0.13510261476039886,0.6818181818181819
25,10.286310317223531,157.94033813476562,157.8439483642578,10.194147165407214,0.1283283853217175,157.8439483642578,0.13421544432640076,0.7181818181818181
26,10.539930009005362,160.45228576660156,160.35128784179688,10.443713786309225,0.12751596159579462,160.35128784179688,0.13385061919689178,0.7545454545454546
27,10.367715726818954,157.92433166503906,157.8187255859375,10.267174574366788,0.12712055732283675,157.8187255859375,0.13353227078914642,0.7909090909090909
28,10.743423748434635,157.9407501220703,157.83050537109375,10.63854617298695,0.12677510605569473,157.83050537109375,0.1332608014345169,0.8272727272727273
29,10.477301290160732,159.14637756347656,159.031494140625,10.368071343815117,0.12647660468754016,159.031494140625,0.1330142468214035,0.8636363636363636
30,10.250941661366245,156.537841796875,156.41824340820312,10.13731813012508,0.1262483782412713,156.41824340820312,0.132893905043602,0.9
