time,f,u,v,a,H_hat
0.013333000000000012,0.0,40.1084,-1.3760061266388963,0.06705235711513133,-77.78461628157811
0.586665999999991,0.0,39.06902022141073,-1.3380857202981074,0.06522820702748534,-75.76878113729069
1.159998999999982,0.0,38.28815687232145,-1.3012111593995188,0.06340405693983936,-74.2537837304348
1.733331999999973,0.0,37.69287615618959,-1.2653824439431307,0.06157990685219337,-73.09832550713006
2.3066649999999638,0.0,36.971889507125056,-1.230599573928943,0.05975575676454738,-71.69933044110513
2.8799979999999548,0.0,36.20229071150004,-1.1968625493569554,0.057931606676901386,-70.2061564575463
3.4533309999999457,0.0,35.593959594196484,-1.164171370227168,0.0561074565892554,-69.02541499244508
4.026663999999937,0.0,34.97330712662633,-1.1325260365395813,0.05428330650160941,-67.82080271494885
4.599996999999928,0.0,34.2023914822858,-1.1019265482941947,0.05245915641396342,-66.32507752977976
5.173329999999919,0.0,33.588726720357215,-1.0723729054910083,0.050635006326317435,-65.13400290902021
5.74666299999991,0.0,33.089498029464366,-1.0438651081300225,0.04881085623867144,-64.1646314233726
6.319995999999901,0.0,32.595004617061925,-1.0164031562112368,0.04698670615102545,-63.204433846593496
6.893328999999892,0.0,31.957033741875136,-0.9899870497346515,0.04516255606337947,-61.966269689615544
7.466661999999883,0.0,31.268644396293382,-0.9646167887002666,0.04333840597573348,-60.63042712710563
8.039994999999873,0.0,30.720212673678656,-0.9402923731080819,0.041514255888087485,-59.56573197042473
8.613327999999864,0.0,30.332450915285825,-0.9170138029581008,0.039690105800469555,-58.81231134863412
9.186660999999855,0.0,29.81543296457159,-0.902134096272623,0.03712055807872222,-57.80758129912612
9.759993999999846,0.0,29.17805047800017,-0.8794839524095756,0.03561193337050922,-56.5709356894104
10.333326999999837,0.0,28.62957548613121,-0.8563887748637613,0.03446048285173742,-55.50696394436634
10.906659999999828,0.0,28.246580646607253,-0.8387239091212793,0.032807834376991946,-54.76298433198108
11.47999299999982,0.0,27.839254050321582,-0.8235421176118104,0.0316241280153316,-53.97242823337905
12.05332599999981,0.0,27.328291130739213,-0.8048034291648616,0.030585331839156432,-52.9812658221359
12.626658999999801,0.0,26.817666058928733,-0.7865337599437575,0.028740691454655715,-51.989790928442595
13.199991999999792,0.0,26.370012323464447,-0.7705455281484287,0.026561023829059033,-51.1199117477339
13.773324999999783,0.0,25.964448055632737,-0.7540785428245768,0.025775985124824152,-50.33324830370963
14.346657999999774,0.0,25.610495554892992,-0.7390910706650903,0.02556640960754164,-49.64726565870308
14.919990999999765,0.0,25.154545113928815,-0.7275469974686816,0.025073863721757295,-48.76333737174702
15.493323999999756,0.0,24.613353321996332,-0.7179779972262335,0.023646239856164264,-47.713144352361844
16.066656999999747,0.0,24.213592846000136,-0.707788299346645,0.022470577776897788,-46.937256157340435
16.639989999999738,0.0,23.90764802387514,-0.6933630257539778,0.021874486730493276,-46.34381754307723
17.21332299999973,0.0,23.577879349278852,-0.6799760233064931,0.021814585914940038,-45.70486713054818
